date,coho_N_fish,coho_N_adult,coho_N_juvenile,coho_N_adult_dead,coho_N_adult_live,coho_biomass,coho_biomass_adult,coho_biomass_juvenile,coho_biomass_adult_dead,coho_biomass_adult_live,coho_count_hour,trout_N_fish,trout_N_adult,trout_N_juvenile,trout_N_adult_dead,trout_N_adult_live,trout_biomass,trout_biomass_adult,trout_biomass_juvenile,trout_biomass_adult_dead,trout_biomass_adult_live,trout_count_hour,fish_online,fish_count,a_online,a_perf,a_count,a_start,a_end,a_notes,j_online,j_perf,j_count,j_start,j_end,j_notes
5/23/19,7,0,7,0,0,0.084,0,0.0843,0,0,10,35,0,35,0,0,0.49,0,0.4904885,0,0,10,1,1,0,,,,,,1,1,1,9:00,22:25,
5/24/19,3,0,3,0,0,0.049,0,0.0485,0,0,10,44,0,44,0,0,0.724,0,0.723612,0,0,10,1,1,1,3,0,9:15,9:17,weir panel still removed,1,1,1,9:30,11:00,
5/25/19,57,0,57,0,0,2.004,0,2.003638997,0,0,10,111,0,111,0,0,1.735,0,1.7353285,0,0,0,1,1,0,,,,,,1,1,1,9:30,11:45,
5/26/19,32,0,32,0,0,1.195,0,1.195324,0,0,10,81,0,81,0,0,1.214,0,1.213885,0,0,0,1,1,1,3,0,11:15,11:20,"Weir panel open, no fish in trap",1,1,1,9:30,11:15,
5/27/19,14,0,14,0,0,0.43,0,0.43,0,0,10,51,0,51,0,0,0.692,0,0.6919945,0,0,11,1,1,0,,,,,,1,1,1,9:30,11:14,
5/28/19,10,0,10,0,0,0.265,0,0.265136,0,0,10,69,1,68,0,0,1.473,0.35,1.123364,0,0,10,1,1,1,3,0,9:15,9:16,NO FISH IN BOX.,0,,,,,
5/29/19,5,0,5,0,0,0.063,0,0.0631415,0,0,10,95,1,94,0,1,2.9,1.48,1.4197695,0,1.48,0,1,1,1,3,0,9:00,9:01,END OF ADULT TREAPPING SEASON,1,1,1,9:15,10:49,
5/30/19,3,0,3,0,0,0.06,0,0.059554,0,0,10,125,0,125,0,0,1.854,0,1.854416,0,0,0,1,1,0,,,,,,0,,,,,
5/31/19,3,0,3,0,0,0.042,0,0.0424,0,0,10,151,0,151,0,0,2.185,0,2.185162,0,0,0,1,1,0,,,,,,0,,,,,
6/1/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/2/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/3/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/4/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/5/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/6/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/7/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/8/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/9/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/10/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/11/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/12/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/13/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/14/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/15/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/16/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/17/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/18/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/19/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/20/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/21/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/22/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/23/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/24/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/25/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/26/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/27/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/28/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/29/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
6/30/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/1/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/2/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/3/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/4/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/5/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/6/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/7/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/8/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/9/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/10/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/11/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/12/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/13/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/14/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/15/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/16/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/17/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/18/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/19/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/20/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/21/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/22/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/23/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/24/19,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0.135,0,0.1351,0,0,15,1,1,0,,,,,,0,,,,,
7/25/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/26/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/27/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/28/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/29/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/30/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
7/31/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/1/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/2/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/3/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/4/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/5/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/6/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/7/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/8/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/9/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/10/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/11/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/12/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/13/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/14/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/15/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/16/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/17/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/18/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/19/19,0,0,0,0,0,0,0,0,0,0,0,114,0,114,0,0,0.52,0,0.5196,0,0,10,1,1,0,,,,,,0,,,,,
8/20/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/21/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/22/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/23/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/24/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/25/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/26/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/27/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/28/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/29/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/30/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
8/31/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/1/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/2/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/3/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/4/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/5/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/6/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/7/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/8/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/9/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/10/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/11/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/12/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/13/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/14/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/15/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/16/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/17/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/18/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/19/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/20/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/21/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/22/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/23/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/24/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/25/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/26/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/27/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/28/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/29/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
9/30/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/1/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/2/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/3/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/4/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/5/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/6/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/7/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/8/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/9/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/10/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/11/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/12/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/13/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/14/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/15/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/16/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/17/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/18/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/19/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/20/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/21/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/22/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/23/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/24/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/25/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/26/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/27/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/28/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/29/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/30/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
10/31/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/1/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/2/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/3/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/4/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/5/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/6/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/7/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/8/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/9/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/10/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/11/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/12/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/13/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/14/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/15/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/16/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/17/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/18/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/19/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/20/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/21/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/22/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/23/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/24/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/25/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/26/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/27/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/28/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/29/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
11/30/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
12/1/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
12/2/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:45,10:45,Heavy rain over theweekend. Opened weir box for season. Cleaned panels. Mouth still closed,0,,,,,
12/3/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:20,Lagoon opened last night to the north. Closed yesterday morning and open this morning.,0,,,,,
12/4/19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.95,0.95,0,0,0.95,10,1,1,1,1,1,9:30,9:45,1 SH - sex difficult to deturmine. First fish of the 19-20 season (WY2020).,0,,,,,
12/5/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:16,No fish. Need to bring out YSI. Mouth starting to look skinny.,0,,,,,
12/6/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,11:26,11:35,No Fish. Mouth is to the extreeeeeeem north.,0,,,,,
12/7/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:35,9:53,"Mouth open, but barely",0,,,,,
12/8/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:35,10:01,Mouth open. All panels clogged with leaves on arrival. No fish,0,,,,,
12/9/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:20,No fish.,0,,,,,
12/10/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:10,,0,,,,,
12/11/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:05,9:10,,0,,,,,
12/12/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:10,,0,,,,,
12/13/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:15,"No Adults in System, Closed trap for weekend",0,,,,,
12/14/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
12/15/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
12/16/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:50,10:10,Reopend trap box (no fish). Estuary recently cut through sandbar and is draining to the north. Likely closed over the weekend and reopened last night or early this morning.,0,,,,,
12/17/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:15,,0,,,,,
12/18/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:12,Installed umbrella holder,0,,,,,
12/19/19,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,8.44,8.44,0,0,8.44,10,1,1,1,1,1,8:55,10:06,"2 adult SH -1 male, 1 female",0,,,,,
12/20/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:20,,0,,,,,
12/21/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:35,9:45,no fish,0,,,,,
12/22/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:25,9:40,Mouth barely open,0,,,,,
12/23/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:15,No Fish.,0,,,,,
12/24/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:17,9:30,No fish. Flow good. Lagoon open.,0,,,,,
12/25/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,,,0,,,,,
12/26/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,11:10,11:30,"No fish. Lots of swell, lagoon open to north and very full. Panels and trap: 7,7,1",0,,,,,
12/27/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10:10,10:20,No fish.,0,,,,,
12/28/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10:15,10:30,No fish. Lagoon very full. Lagoon barely open…waves overtopping bar.,0,,,,,
12/29/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:35,9:45,No fish. Lagoon down just a little. Very narrow outflow.,0,,,,,
12/30/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:10,9:20,,0,,,,,
12/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:05,,0,,,,,
1/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,11:15,11:25,Happy New Year.,0,,,,,
1/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:10,,0,,,,,
1/3/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:12,9:20,No fish.,0,,,,,
1/4/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10:00,10:15,No fish. Narrow outflow from lagoon.,0,,,,,
1/5/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10:00,10:15,No fish. Lagoon has narrow outflow with decent flow.,0,,,,,
1/6/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:15,9:19,,0,,,,,
1/7/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:10,9:30,"No fish. Lagoon barely open. Interns Daniela, Hannah, and Brandon.",0,,,,,
1/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:30,9:45,Lagoon open but only inflow.,0,,,,,
1/9/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:05,9:11,No Fish. With Daniela and Hannah.,0,,,,,
1/10/20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3.98,3.98,0,0,3.98,9,1,1,1,1,1,9:00,9:20,"Adult Female Steelhead, w/ Brandon Sanchez",0,,,,,
1/11/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:30,9:34,No fish.,0,,,,,
1/12/20,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
1/13/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:06,,,0,,,,,
1/14/20,1,1,0,1,0,1.913,1.91296,0,1.913,0,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,8:55,9:05,"with Daniela, Hannah, and Brandon.",0,,,,,
1/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:05,,0,,,,,
1/16/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,8:55,9:00,"Daniela, and Hannah",0,,,,,
1/17/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:15,Brandon & Charles,0,,,,,
1/18/20,1,1,0,0,1,3.5,3.5,0,0,3.5,10,2,2,0,0,2,6.2,6.2,0,0,6.2,10,1,1,1,1,1,9:45,10:23,"3 fish (Fe Co, Fe SH, Ma SH) with Hannah S.",0,,,,,
1/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:25,9:30,No fish. Lagoon mouth nearly closed (trickle). Lagoon is backing up (refilling).,0,,,,,
